correct,incorrect
FLATTERING,FLATTERRING
FLUX,FLUK
FLUX,FLUKSE
FORESEE,FORSEE
FRUSTRATING,FRUSTARTAION
FUNCTION,FUCTION
GENERALLY,GENERLY
GOTTEN,GOTTON
GOVERNMENT,GOBERMENT
GOVERNMENT,GOBERNEMENT
GOVERNMENT,GOBERNMENT
GRACEFUL,GRACEFULL
GRADUALLY,GRADUALY
GRAMMAR,GRAMMER
GUARD,GAURD
GUTS,FUTS
HAPPILY,HAPILY
HARASS,HARRASS
HAVE,HAVNE
HEIGHT,HEIGHTH
HELLO,HALLO
HELLO,HELO
HELLO,HERLO
HELP,HEELLP
HELP,HELLP
HELP,HLP
HIGHER,HIGER
HIPPOPOTAMUS,HIPPOPOTAMOUS
HORSE,HOURSE
HOUSING,HOUSSING
HOWEVER,HOWAVER
HOWEVER,HOWVER
HUMANITY,HUMANITI
HYPHEN,HIFIN
HYPHEN,HIFINE
HYPHEN,HIPHINE
HYPHEN,HYFIN
HYPOTHESIS,HYPOTATHES
HYPOTHESIS,HYPOTATHESE
HYSTERICAL,HYSTRICAL
ILLEGITIMATE,ILLEGITAMENT
IMMANENT,IMMENANT
IMMEDIATELY,IMEDIAETLY
IMPLEMENTS,IMPLEMTES
IN_CASE,INCASE
IN_DEPTH,INDEPTH
IN_FACT,INFACT
INADVERTENT,INADVERTANT
INCOMPLETE,INCOMPLEET
INCOMPLETE,INCOMPLOT
INCONVENIENCE,INCONVIENCE
INCONVENIENT,INCONVENANT
INDENT,IDENT
INDEPENDENT,INDEPENDANT
INDEPENDENT,INDEPENDENENT
INDEPENDENT,INDEPNENDS
INDISPENSABLE,INDISPENSIBLE
INEFFICIENT,INEFFICITE
INFAMY,IMFAMY
INFLUENTIAL,INFLUENCIAL
INITIAL,INITAL
INITIALIZED,INITINIZED
INITIALIZED,INITIZED
INOCULATE,INNOCULATE
INSIDIOUS,INCEDIOUS
INSISTENT,INSISTANT
INSISTENT,INSISTENET
INSTALLATION,INSTULATION
INTELLIGENT,INTEALIGNT
INTELLIGENT,INTEJILENT
INTELLIGENT,INTELEGENT
INTELLIGENT,INTELEGNENT
INTELLIGENT,INTELEJENT
INTELLIGENT,INTELIGENT
INTELLIGENT,INTELIGNT
INTELLIGENT,INTELLAGANT
INTELLIGENT,INTELLEGENT
INTELLIGENT,INTELLEGINT
INTELLIGENT,INTELLGNT
INTERESTED,INTERTES
INTERESTED,INTERTESD
INTERFACE,INERFACE
INTERNATIONAL,INTERNATION
INTERPRET,INTERPRETATE
INTERPRETER,INTERPRETTER
INVENTIONS,ENVENTIONS
IRRESISTIBLE,IRRESISTABLE
IRRITABLE,IRRITIBLE
ISOTOPE,ISOTROP
ITERATE,INTERATE
JOHN,JOHHN
JUDGEMENT,JUDGMENT
JUDGMENT,JUDGEMENT
KILOMETER,LILOMETER
KILOMETRE,LILOMETER
KIPPER,KIPPUR
KNOWING,KNAWING
LASER,LUSER
LATEST,LATEXT
LAYER,LLOYER
LEAVE,LEASVE
LEISURE,LESURE
LESION,LIASION
LIAISON,LIASON
LIBRARY,LIBARY
LIKELY,LIKLY
LIQUEFY,LIQUIFY
LOSING,LOSSING
MADNESS,MADDNESS
MAINTENANCE,MAINTANENCE
MAJORITY,MAJAERLY
MAJORITY,MAJORALY
MARSHAL,MARSHALL
MASKS,MAKS
MAXIMUM,MAXIUM
MEDIA,MIDIA
MEMENTO,MOMENTO
MEMORY,MEORY
METAPHYSICAL,PATAPHYSICAL
MIKE,MIC
MILLENNIUM,MILLENIUM
MINIMUM,MINUM
MINUSCULE,MINISCULE
MISCELLANEOUS,MISILOUS
MISCHIEVOUS,MISCHIEVIOUS
MONKEY,MINKAY
MONKEY,MONKAY
MORE,MROE
MOSAIC,MOSAIK
MOST_LIKELY,MOSTLIKELY
MOUSER,MOUSR
MOVING,OVING
NAIVE,NIEVE
NECESSARY,NECCESSARY
NECESSARY,NECESARY
NECESSARY,NECESSER
NEIGHBOR,NEIGHBOUR
NEIGHBOUR,NEIGHBOR
NICKELODEON,NICKLEODEON
NIECE,NEICE
NO_ONE,NOONE
NOT_IN,NOTIN
NOTICEABLY,NOTICABLY
NUZZLED,NOZLED
OBFUSCATE,OBSFUSCATE
OBJECTS,OBJECTSION
OCCASION,OCASSION
OCCASIONALLY,ACCOSINLY
OCCASIONALLY,OCCUSIONALY
OCCUPIED,OCCUPPIED
OCCURRENCE,OCCURENCE
OCTOGENARIAN,OCTAGENARIAN
OLD,OLF
OPOSSUM,OPPOSIM
ORGANIZE,ORGANISE
ORGANIZE,ORGANIZ
ORIENT,ORIENTATE
OSCILLOSCOPE,OSCILASCOPE
PARAMETER,PARAMETIC
PARAMETERS,PARAMERS
PARAMETERS,PARANETS
PARTICULAR,PARTRUCAL
PATTERN,PATTEN
PEREMPTORY,PREEMPTORY
PERMISSIBLE,PERMISSABLE
PERMISSION,PERMITION
PERMISSIVE,PERMMASIVIE
PHENOMENAL,PHENOMINAL
PHONE,FONE
PHONETIC,FUNETIK
PICTURESQUE,PICARESQUE
PLAYWRIGHT,PLAYWRITE
POLICE,POLLICE
POLITIC,POLITICT
POLITICIAN,POLATION
POLYGAMY,POLIGAMY
POLYPROPYLENE,POLYPROPALENE
PORTRAY,PROTRAY
POSSIBLE,POSSABLE
PRACTICAL,PRACTICLE
PRAGMATISM,PRAGMATICISM
PRECEDING,PRECEEDING
PRECISION,PRECION
PRECISION,PRECIOS
PREFIXED,PREFIXT
PREFIXES,PREFICES
PREROGATIVE,PEROGATIVE
PRIVILEGE,PRIVIELAGE
PRIVILEGE,PRIVILEDGE
PROBLEMATIC,PROPLEMATIC
PROCEDURES,PROCEEDURES
PRONUNCIATION,PRONENSIATION
PRONUNCIATION,PRONISATION
PRONUNCIATION,PRONOUNCIATION
PROPERLY,PROPERALLY
PSYCHOLOGIST,PSCOLGST
PSYCHOLOGIST,PSICOLAGEST
PSYCHOLOGIST,PSYCOLAGEST
PSYCHOLOGIST,SICOLAGEST
PURSUE,PERSUE
PURSUE,PRESUE
PURSUED,PRESUED
QUIZ,QUOZ
RACCOON,RECCONA
RADIUS,RADIOUS
RAMPANTLY,RAMPLILY
RANK,WRANK
RECEIVE,RECIEVE
RECOGNIZE,RECONISE
RECOMMEND,RECCOMEND
RECTANGLE,RECTANGELES
RECURRING,REOCCURRING
REDESIGN,REDIGN
REGARDLESS,IRREGARDLESS
REPETITION,REPITITION
REPLACEMENT,REPLASMENTS
RESEMBLANCE,RESEBLENCE
RESPECT,RESPCT
RESPECTFULLY,RESPECALLY
RESPONSIBLE,REPOSABLE
ROOM,ROON
ROUGHLY,ROUGHT
RUDIMENTARY,RUDEMTRY
RUNNING,RUNNUNG
SACRILEGIOUS,SACRELIGIOUS
SAFELY,SAFTLY
SALUTE,SALUT
SATISFY,SATIFLY
SCRABBLE,SCRABDLE
SECTION,SECION
SEGMENTS,SEGEMENTS
SEIZE,SIEZE
SENSE,SENCE
SEPARATE,SEPERATE
SEVERAL,SEFERAL
SHERBET,SHERBERT
SIGNAL,SINGAL
SIMPLICITY,CIMPLICITY
SIMPLICITY,SIMPFILTY
SIMPLY,SIMPLYE
SITE,SITTE
SITUATION,SITURATION
SMILE,SMIL
SNEAKED,SNUCK
SOMETIMES,SOMETMES
SONIC,SOONEC
SPECIFICALLY,SPECIFICIALY
SPELL,SPEL
SPOKE,SPOAK
SPONSORED,SPONSERED
STEERING,STERING
STOMACH,STUMACH
STRAITJACKET,STRAIGHTJACKET
STUDENT,STUTENT
STYLE_GUIDE,STYLEGUIDE
SUBPOENA,SUBPENA
SUBSCRIBED,SUBJECRIBED
SUBSTITUTIONS,SUBISITIONS
SUBSTITUTIONS,SUBSTATIONS
SUGAR,SUGER
SUPERFLUOUS,SUPERFULOUS
SUPERSEDE,SUPERCEDE
SWIMWEAR,SWIM_WEAR
SYLPH,SLYPH
SYNCHRONIZATION,SYNCORIZATION
TATTOOS,TATTOS
TEAM,TEM
TECHNICALLY,TECHNIQUELY
TEST,TESST
TEST,TTEST
TESTS,TETS
THAN_OR,THANOT
THAT,TAHT
THE,TEH
THE,THW
THEMSELVES,THEIRSELVES
THEORETICAL,TERIDICAL
THEORETICAL,THERIDICALLY
THEORETICALLY,THREDICALLY
THIS,THS
THROUGHOUT,THRUOUT
TITILLATE,TITALATE
TOMORROW,TOMMORROW
TOMORROW,TOMOROW
TOUGH,TAFF
TRAGEDY,TRADEGY
TROUBLE,TRUBBEL
TUNNEL_LIKE,TUNNELLIKE
TURNED,TURED
TWO,TEO
TYRANNY,TYRRANY
UNCONSCIOUS,UNCONSCIENCE
UNCONSTITUTIONAL,UNCONISITIONAL
UNDER_LADDER,UNDERLADDER
UNFORTUNATELY,UNFORMANLLY
UNFORTUNATELY,UNFORTALLY
UNFORTUNATELY,UNFORTUNENTLY
UNINTELLIGIBLE,UNENTELEGIBLE
UNNATURAL,UNATOURRAL
UNNATURAL,UNATURRAL
UNNATURAL,UNNATURRAL
UP_CAST,UPCAST
URANIUM,URANISIUM
UTMOST,UPMOST
VERSION,VERISON
VINAIGRETTE,VINAGARETTE
VOLLEY,VOLYE
VOLUNTARISM,VOLUNTEERISM
VOLUPTUOUS,VOLUMPTUOUS
WAIT,WAITE
WANT,MANT
WARD,WHARD
WARLORD,WARLOORD
WASTING,WADTING
WEAKEN,WICKEN
WEIRD,WIERD
WHAT,WHAAAT
WIMP,WHIMP
WON'T,WAN'T
WRITING,WRITTING
YIELD,YEILD
YOUR,YOUE
?,CONSULATOIN 1
?,DOC_CHM 1
?,HALF-HOSE 1
?,HURBURED 1
?,ANETES 1
?,BAV 1
?,CHMER 1
?,CROWSED 1
?,GROW 1
?,HAST 1
?,HUMIT 1
?,NIS 1
?,NSOR 1
?,PELSER 1
?,RUTH 1
?,SAFFRERY 1
?,SECHRUS 1
?,SOLUED 1
?,UNZ 1
?,WILD 1
ADAM'S,ADAM 1
AFTER,ARTAIR 1
AMERICA,AMERICAN 1
AND,ANE 1
APPRENTICESHIP,APPRENTISHIP 1
APRIL,APIRL 2
AUDREY,AUDRE 1
AUSTIN,AUTIN 1
BABIES,BABYS 1
BANG,BANKG 4
BERYL,BERYIL 3
BICYCLE,BICYLE 1
BOSS,BOS 1
BOYS,BOY 3
BRABHAM,BARHAM 3
BRABHAM,BARHAM 1
BUTLINS,BUTLINS 1
CASTLE'S,CASTELS 1
CHARACTERS,CHARTORS 1
CHEERIO,CHEERE_HO 1
CHEETAH,CHETER 1
COMMENT_ALLEZ-VOUS,COMATALEVOUS 2
COMMENTARY,COMENTARY 1
COOPER,COPPER 1
CYNTHIA'S,CYNTHIA 1
DEATH,DEARTH 1
DOCTOR,DOCTER 1
DOG'S,DOG 1
DUREX,DURXER 1
END,AND 9
END,EDH 1
END,HED 1
EVERY,EVEY 1
FACTORY,FACTTOER 1
FARMER,FRAMEMAN 1
FATHER,FARTHER 2
FERRARI,FARRARI 1
FIRE,FIYER 1
FRANCE,FANCE 1
FROGMEN'S,FRGMENS 1
GARDEN,GARDON 1
GEOFF,GOEF 1
GOODBYE,GOOD_BY 1
HER,HERE 1
HIM,IM 2
HIS,HE 1
HIS,HE'S 1
HOLIDAY,HOLLIDAY 1
HONDA,HONDOR 4
HONG_KONG,HONK_KONG 1
I'D,ID 2
I'LL,I 2
I'LL,ILL 4
I'LL,ILE 1
I'LL,ILL 1
I'M,I 1
I'M,IM 1
I'VE,IVE 1
IT,I 5
ITALY,ITLAY 1
JAMES,JAME 21
JANE'S,JANES 1
JAPANESE,JAPANNESE 1
JEAN'S,JEANS 1
JEAN'S,JEANS 1
JOAN,JONE 1
JOHN'S,JOHN 1
JOHN'S,JOHNS 1
JONES,JOHNES 1
JONES'S,JONESES 1
JOYCE'S,JOYCE 2
JULY,JLUY 1
KIDNEYS,KIDNEY 1
LEAD,LED 1
LET'S,LETS 2
LONDON,LONDEN 1
LONDON,LONDOD 1
LONE,LONG 1
LUCKY,LUCKILY 1
MACWILLIAMS,MACWILLAIMS 2
MARRIED,MARRID 1
MARY,MARRY 4
MEANWHILE,MEAN_WHILE 1
MONKEYS,MUNCES 1
MOTORBIKE,MOTOR-BIKES 1
MY,BY 1
NEXT,NEXE 1
NICHOLLS,NICKALS 1
NOSE,NOS 1
NOTE,NOET 1
OH,OW 3
ONCE,ONES 2
ONE,WON 1
OUTSIDE,OUT_SIDE 1
PHIL_HILL,PHILLHILL 1
PLEASED,PLEASE 1
POEM,POME 1
POLICE,POLLCE 1
PORKY,PAULKEY 1
PRISON,PRISERN 1
RANGER,RANGO 1
ROY,ROYS 1
ROYAL,ROYL 6
SHE'S,SHE 1
SLAUGHTERHOUSE,SLAUGHTHOUSE 1
SMOKING,SMOCKING 1
SO,SHOW 1
SOMEONE,SOME_ONE 1
SOUTHWOLD,SUOTHWODE 1
STANLEY,STANLAY 1
STRANDED,STRANDEN 1
STUART,STURT 1
SWITZERLAND,SWIZALAND 1
SYLVIA,SYLVER 1
SYLVIA,SYLVER 1
TV,TV 1
TEDDY_BOY,TEDDOY 3
TEDDY_BOY,TEDEBOY 1
TEDDY_BOYS,TADDYBOYS 1
THAT'S,THATS 1
THEIR,THERE 3
THEIR,THEY 1
THERE,THEIR 2
THERE,THER 1
THERE,THEY 4
THERE'S,THERE 1
THINKING,THINKNG 1
TOBY,TOBE 1
TOM'S,TOMS 2
TOMMY,TOMY 1
TONNER,TONER 1
TRIUMPH,TRIUMH 1
TRIUMPH,TRUMH 1
TROY,TOY 1
TWO,TOW 1
WATSON,WATSTON 1
WHAT,WH'T 1
WHAT'S,WHAT 2
WHICH,WIICH 1
WHILE,WILL 1
WHOEVER'S,WHOS_EVERS 1
WINGS,WING 1
YARD,YSID 1
YOU'RE,YOUR 1
A,AN 1
A_BIT,ABIT 1
A_WHILE,AWILL 1
ABOARD,ABROARD 1
ABOUT,A_BAT 1
ABOUT,A_BOUT 2
ABSOLUTELY,ABSOLUTLY 1
ACHE,ACK 1
AFTER,HALF 1
AFTER_A_WHILE,AFTERAWHILE 1
AGAIN,A_GAIN 1
AGAIN,AGAN 1
AGAIN,AGIAN 1
AGO,A_GO 1
AIR,HARE 1
ALIVE,ALIFE 1
ALLEY,ALLY 2
ALLOWED,ALLOUD 1
ALMIGHTY,ALMITY 1
ALONE,A_LONE 1
ALONG,A_LONG 1
ALRIGHT,ALLRIGHT 1
ALRIGHT,ARIGH 1
ALRIGHT,ARIGHT 1
ALRIGHT,ARIGTH 2
ALRIGHT,OR_RIT 1
ALRIGHT,ORRIGH 1
ALRIGHT,ORRIGHT 1
ALSO,ALLSO 1
ALSO,ALS 1
ALTAR,ALTER 1
ALWAYS,ALL_WAYS 2
ALWAYS,ALLWAYS 1
AMBULANCE,AMBERLESS 1
AMBULANCE,AMBLANCE 4
AMBULANCE,AMERLESS 1
AMUSEMENTS,AMUSMENTS 2
AN,A 1
AN,AND 1
AND,A 4
AND,AN 3
AND,AUD 1
AND,HAND 1
ANIMALS,ANIML 1
ANOTHER,A_NOTHER 3
ANOTHER,A_NOUTHER 1
ANOTHER,ANER 1
ANSWERED,ANWERD 1
ANY,ENEY 1
ANYONE,ANY_ON 1
ANYONE,ANY_ONE 1
ANYONE,ANY_OWN 1
ANYTHING,ANY_THING 1
ANYTHING,ANYTHINK 2
ANYTHING,ANYTING 1
ANYTHING,ENTHING 1
APPLE,APPLY 1
APPLES,APPLE 4
APPRENTICESHIP,APPRENTISHIP 1
ARE,AND 1
AREA,AIRAEAR 1
AREN'T,ARENT 1
ARMY,HRMEHN 1
ARMY,HRMEHR 1
AROUND,A_ROUND 1
ARRIVED,ARIVED 1
AS,ASS 1
AS,HAS 1
ASKED,ARSED 2
ASKED,ASK 4
ASKING,ARSKING 1
ASKS,ASK 1
ASLEEP,A_SEPH 1
ASLEEP,A_SLEEP 1
AT,A 2
AT,ARE 2
AT_ALL,A_TALL 1
AT_ALL,A_TOOL 1
ATE,EAT 3
ATE,ET 1
ATE,ETE 1
ATTACK,ATACK 1
ATTEND,ATENED 1
AUDREY,AUDRE 4
AUTHOR'S,OTHERS 1
AUTUMN,AOUNT 1
AUTUMN,AUTUNM 1
AWAY,A_WAY 2
AWFUL,ALFULL 1
BABIES,BABYES 2
BABIES,BABYIS 1
BABIES,BABYS 2
BABY,BABBY 1
BABY,BABYS 1
BACK,BAKE 2
BACK,BAKH 1
BACK,DOC 1
BARBED,BARB 1
BARE,BEAR 1
BARN,BRAN 2
BASKET,BARSCKET 1
BASKET,BASCKEK 1
BASKET,BASKEK 1
BATHS,BATH 1
BE,BY 2
BE,ME 1
BE,WE 1
BE_COMING,BECAME 1
BEAT,PIT 1
BEATING,BETING 1
BEAUTIFUL,BEAUFIFUL 1
BECAME,BACAM 1
BECAUSE,BECAUES 3
BECAUSE,BECOUSE 1
BEDROOMS,BED_ROOM 1
BEEF,BF 1
BEEN,BEAN 1
BEEN,BINE 1
BEFORE,BE_FOR 2
BEFORE,BEFOR 4
BEHIND,BEHED 1
BEHIND,BEHISM 1
BEING,BEEN 1
BELLRINGING,BELL_RINGING 1
BELONGS,BELONG 1
BENDING,BEND_IN 1
BEST,BEETS 1
BETTER,BET 1
BETTER,BETER 1
BETTER,BETHTHE 1
BEVERLEY,BEVERLY 3
BEWARE,BEWERE 1
BICYCLES,BCIYLE 1
BIG,BING 1
BIG-HEADED,BIG_HADED 1
BIGGER,BIGER 1
BIGGEST,BIGEST 1
BILLED,BUILD 1
BIRD,BRID 2
BISCUITS,BICCUITS 1
BITTEN,BITEN 1
BLEW,BLOW 2
BLOODY,BLUDY 1
BLOSSOM,BLOSSM 1
BOASTING,BOSTING 1
BODIES,BODYS 2
BODY,BOD 1
BOOZE,BOUSE 1
BORROWED,BORROWD 1
BOSS,BOS 1
BOTTOM,BOTTON 1
BOY,BUY 1
BOY'S,BOY 3
BOY'S,BOYS 2
BOYFRIEND,BOY_FRIEND 1
BOYFRIEND,BOYFREIND 1
BOYFRIEND,BOYFREND 1
BOYFRIEND'S,BOYFRENDS 1
BOYS,BOY 1
BOYS,BOY'S 1
BRAKES,BREAKS 1
BRAN,BRAIN 2
BRAVEST,BRAVIST 1
BREADCRUMBS,BRED_CRUMES 1
BREAK,BRACK 1
BREAK,BRICK 1
BREAKFAST,BRECFAST 1
BREAKS,BRAKES 1
BREEZE,BREEZ 2
BROKEN,BROCKEN 1
BROTHER,BORTHER 1
BROTHERS,BROTHER 1
BROUGHT,BROUG 1
BROUGHT,BROUGH 1
BRUSSELS,BRUS 1
BRUSSELS,BRUSELS 1
BRUSSELS,BRUSLS 1
BRUSSELS,BRUST 1
BUBBLES,BUBBALS 1
BUILD,BILLD 1
BUILD,BILLED 1
BUILD,BULD 1
BUILDING,BILLDING 1
BUILT,BILT 1
BUILT,BUIT 1
BULLET,BOLOT 1
BULLET,BULET 2
BULLET,BULETE 1
BURIED,BERED 1
BURN,BRUN 1
BY,BIHR 1
CAFE,KIFFE 1
CALLED,CALD 1
CALLED,CALL 1
CALLED,CALLD 1
CALLED,COULD 1
CALMED,CARMD 1
CALMER,COMER 1
CAME,CAM 3
CAME,COME 1
CAME,KOM 1
CAME,KUM 1
CAN,CAME 1
CAN,CANE 2
CAN'T,CANT 2
CAN'T,CANTH 1
CAN'T,CARN'T 1
CAN'T,CARNT 1
CANDLESTICK,CANDLE_STICK 1
CANE,CAIN 2
CANNOT,CAN_NOT 2
CANNOT,CONNOT 1
CAPTAIN,CAPTIAN 1
CAPTAIN,CAPTMAN 1
CAPTAIN,CATPTMAN 1
CAPTAIN,CPN 1
CAR,STAR 1
CAREER,CARRER 1
CAREFUL,CAREFULL 1
CAREFUL,CARFUL 1
CAREFUL,CARFULL 1
CAREFULLY,CARESLL 1
CARRIED,CARED 1
CARRIED,CARRED 1
CARRIED,CARRID 1
CARRYING,CARRING 1
CASTLE,CARLSAT 1
CASTLE,CARSAL 1
CASTLE,CARSELL 1
CASTLE,CARTAL 2
CASTLE,CARTILL 1
CASTLE,CARTSEL 1
CASTLE,CATAL 1
CASTLE,CATSAL 1
CAT'S,CATS 1
CATCH,CASH 1
CATCH,CHACH 1
CAUGHT,CAUGH 1
CAUGHT,CORT 2
CAUGHT,COUGHT 2
CELEBRATED,CELEBRATE 1
CHAIN,CHOIN 1
CHAIR,CHERE 1
CHANGED,CAGE 1
CHARACTER,CHARACTE 1
CHARACTER,CHARICKTER 1
CHARGED,CHANGE 1
CHEERIO,CHEEROH 1
CHEETAH,CHETER 3
CHEW,CHOW 1
CHILDREN,CHIDREN 1
CHILDREN'S,CHILDRENES 1
CHIMNEY,CIMBENR 1
CHIRPED,CHERPED 1
CHOOSING,CHING 1
CHOSEN,CHOOSEN 1
CHRISTMAS,CHRISTMAN 1
CINEMA,CINAMA 3
CINEMA,CINMA 1
CIRCUS,SERCUS 1
CLASSES,CLASSIS 1
CLATTER,CLATER 1
CLAWS,CLORS 1
CLEAN,CLEARN 1
CLEAN,GLEAN 1
CLEANED,CLEAN 1
CLEANED,CLEAND 2
CLIMB,CLIM 1
CLIMB,CLIME 1
CLIMBED,CIMED 1
CLIMBED,CLIMB 1
CLOSED,CLOSD 1
CLOSED,CLOUS 1
CLOTHES,CLOTHS 2
CLOTHES,CLOUS 1
CLOTHES,COLHES 1
CLOUDS,COULDES 1
CLOUDS,COULDS 1
CLUB,CLOB 1
CLUB,COLBE 1
COAT,COTE 1
COFFINS,COFENS 1
COLOUR,COLUR 1
COME,COM 1
COME,COMR 1
COME,COUM 1
COME,KUMH 1
COMES,COME 4
COMFORTABLE,COMVATABLE 1
