Word,Pronunciation,Syllables,Frequency
ABEDI,"['AH', 'B EH', 'D IY']","['A', 'BE', 'DI']",18278
ABEE,"['AH', 'B IY']","['A', 'BEE']",40289
ABEL,"['EY', 'B AH L']","['A', 'BEL']",1597985
ABELA,"['AA', 'B EH', 'L AH']","['A', 'BE', 'LA']",45817
ABELARD,"['AE', 'B IH', 'L ER D']","['A', 'BE', 'LARD']",110735
ABELE,"['AH', 'B EH L']","['A', 'BELE']",62988
ABELES,"['AH', 'B EH L Z']","['A', 'BE', 'LES']",31444
ABELL,"['EY', 'B AH L']","['A', 'BELL']",309706
ABELLA,"['AH', 'B EH', 'L AH']","['AB', 'BLLA']",64638
ABELS,"['EY', 'B AH L Z']","['A', 'BELS']",64684
ABELSON,"['AE', 'B IH L', 'S AH N']","['AB', 'BLSON']",114624
ABEND,"['AE', 'B EH N D']","['A', 'BEND']",167377
ABENDROTH,"['AE', 'B IH N', 'D R AO TH']","['A', 'BEN', 'DROTH']",18678
ABER,"['EY', 'B ER']","['A', 'BER']",1028797
ABERCROMBIE,"['AE', 'B ER', 'K R AA M', 'B IY']","['A', 'BER', 'CROM', 'BIE']",1399587
ABERDEEN,"['AE', 'B ER', 'D IY N']","['A', 'BER', 'DEEN']",5660658
ABERFORD,"['EY', 'B ER', 'F ER D']","['A', 'BER', 'FORD']",16357
ABERG,"['AE', 'B ER G']","['A', 'BERG']",48748
ABERLE,"['AE', 'B ER', 'AH L']","['A', 'BER', 'LE']",26905
ABERNATHY,"['AE', 'B ER', 'N AE', 'TH IY']","['A', 'BER', 'NA', 'THY']",327612
ABERNETHY,"['AE', 'B ER', 'N EH', 'TH IY']","['A', 'BER', 'NE', 'THY']",146667
ABERRANT,"['AE', 'B EH R', 'AH N T']","['AB', 'BRRANT']",368866
ABERRATION,"['AE', 'B ER', 'EY', 'SH AH N']","['AB', 'BRRA', 'TION']",443062
ABERRATIONS,"['AE', 'B ER', 'EY', 'SH AH N Z']","['AB', 'BRRA', 'TIONS']",456515
ABERT,"['AE', 'B ER T']","['A', 'BERT']",25137
ABET,"['AH', 'B EH T']","['A', 'BET']",286436
ABETTED,"['AH', 'B EH', 'T IH D']","['AB', 'BTTED']",145570
ABETTING,"['AH', 'B EH', 'T IH NG']","['AB', 'BTTING']",233760
ABEX,"['EY', 'B EH K S']","['A', 'BEX']",13833
ABEYANCE,"['AH', 'B EY', 'AH N S']","['A', 'BEY', 'A', 'NCE']",131094
ABEYTA,"['AA', 'B EY', 'T AH']","['A', 'BEY', 'TA']",28484
ABHOR,"['AE', 'B HH AO R']","['A', 'BHOR']",169167
ABHORRED,"['AH', 'B HH AO R D']","['A', 'BHO', 'RRED']",77612
ABHORRENCE,"['AH', 'B HH AO R', 'AH N S']","['A', 'BHOR', 'RE', 'NCE']",93985
ABHORRENT,"['AE', 'B HH AO R', 'AH N T']","['A', 'BHOR', 'RENT']",167235
ABID,"['EY', 'B IH D']","['A', 'BID']",99326
ABIDE,"['AH', 'B AY D']","['A', 'BIDE']",3722809
ABIDED,"['AH', 'B AY', 'D IH D']","['A', 'BI', 'DED']",51950
ABIDES,"['AH', 'B AY D Z']","['A', 'BI', 'DES']",234643
ABIDING,"['AH', 'B AY', 'D IH NG']","['A', 'BI', 'DING']",947738
ABIDJAN,"['AE', 'B IH', 'JH AA N']","['A', 'BID', 'JAN']",324346
ABIE,"['AE', 'B IY']","['A', 'BIE']",61399
ABIGAIL,"['AE', 'B AH', 'G EY L']","['A', 'BI', 'GAIL']",1604495
ABILENE,"['AE', 'B IH', 'L IY N']","['A', 'BI', 'LENE']",1475478
ABILITIES,"['AH', 'B IH', 'L AH', 'T IY Z']","['A', 'BI', 'LI', 'TIES']",7578665
ABILITY,"['AH', 'B IH', 'L AH', 'T IY']","['A', 'BI', 'LI', 'TY']",52004289
ABINGDON,"['AE', 'B IH NG', 'D AH N']","['A', 'BING', 'DON']",901963
ABINGTON,"['AE', 'B IH NG', 'T AH N']","['A', 'BING', 'TON']",453270
ABIO,"['AA', 'B IY', 'OW']","['A', 'BIO']",36980
ABIOLA,"['AA', 'B IY', 'OW', 'L AH']","['A', 'BIO', 'LA']",51656
ABIOMED,"['EY', 'B IY', 'AH', 'M EH D']","['A', 'BIO', 'MED']",13360
ABIQUIU,"['AH', 'B IH', 'K Y UW']","['A', 'BI', 'QUIU']",46479
ABITIBI,"['AE', 'B IH', 'T IY', 'B IY']","['A', 'BI', 'TI', 'BI']",119042
ABJECT,"['AE', 'B JH EH K T']","['A', 'BJECT']",312620
ABKHAZIA,"['AE', 'B K AA', 'Z Y AH']","['AB', 'BKHZIA']",203928
ABKHAZIAN,"['AE', 'B K AA', 'Z IY', 'AH N']","['AB', 'BKHZIAN']",95160
ABLATE,"['AH', 'B L EY T']","['A', 'BLATE']",20449
ABLATION,"['AH', 'B L EY', 'SH AH N']","['A', 'BLA', 'TION']",635932
ABLAZE,"['AH', 'B L EY Z']","['A', 'BLAZE']",321096
ABLE,"['EY', 'B AH L']","['A', 'BLE']",109389038
ABLED,"['EY', 'B AH L D']","['A', 'BLED']",122479
ABLER,"['EY', 'B AH', 'L ER']","['A', 'BLER']",29740
ABLES,"['EY', 'B AH L Z']","['A', 'BLES']",252284
ABLEST,"['EY', 'B AH L S T']","['A', 'BLEST']",62403
ABLUTION,"['AH', 'B L UW', 'SH AH N']","['A', 'BLU', 'TION']",137649
ABLUTIONS,"['AH', 'B L UW', 'SH AH N Z']","['A', 'BLU', 'TIONS']",38005
ABLY,"['EY', 'B L IY']","['A', 'BLY']",425590
ABNEGATION,"['AE', 'B N EH', 'G EY', 'SH AH N']","['A', 'BNE', 'GA', 'TION']",26265
ABNER,"['AE', 'B N ER']","['A', 'BNER']",445318
ABNORMALLY,"['AE', 'B N AO R', 'M AH', 'L IY']","['A', 'BNOR', 'MA', 'LLY']",501580
ABO,"['AA', 'B OW']","['A', 'BO']",537387
ABOARD,"['AH', 'B AO R D']","['A', 'BOARD']",4080258
ABODE,"['AH', 'B OW D']","['A', 'BODE']",1246541
ABOLISH,"['AH', 'B AA', 'L IH SH']","['A', 'BO', 'LISH']",912065
ABOLISHED,"['AH', 'B AA', 'L IH SH T']","['A', 'BO', 'LI', 'SHED']",1331439
ABOLISHES,"['AH', 'B AA', 'L IH', 'SH IH Z']","['A', 'BO', 'LI', 'SHES']",112677
ABOLISHING,"['AH', 'B AA', 'L IH', 'SH IH NG']","['A', 'BO', 'LI', 'SHING']",332814
ABOLITION,"['AE', 'B AH', 'L IH', 'SH AH N']","['A', 'BO', 'LI', 'TION']",1132361
ABOLITIONISM,"['AE', 'B AH', 'L IH', 'SH AH', 'N IH', 'Z AH M']","['A', 'BO', 'LI', 'TIO', 'NI', 'SM']",39742
ABOLITIONIST,"['AE', 'B AH', 'L IH', 'SH AH', 'N AH S T']","['A', 'BO', 'LI', 'TIO', 'NIST']",226532
ABOLITIONISTS,"['AE', 'B AH', 'L IH', 'SH AH', 'N AH S T S']","['A', 'BO', 'LI', 'TIO', 'NISTS']",132489
ABOMINABLE,"['AH', 'B AA', 'M AH', 'N AH', 'B AH L']","['A', 'BO', 'MI', 'NA', 'BLE']",317597
ABOMINATION,"['AH', 'B AA', 'M AH', 'N EY', 'SH AH N']","['A', 'BO', 'MI', 'NA', 'TION']",396240
ABOMINATIONS,"['AH', 'B AA', 'M AH', 'N EY', 'SH AH N Z']","['A', 'BO', 'MI', 'NA', 'TIONS']",143498
ABOOD,"['AH', 'B UW D']","['A', 'BOOD']",20647
ABOR,"['AH', 'B AO R']","['A', 'BOR']",88322
ABORIGINAL,"['AE', 'B ER', 'IH', 'JH AH', 'N AH L']","['A', 'BOR', 'I', 'GI', 'NAL']",7042822
ABORIGINE,"['AE', 'B ER', 'IH', 'JH AH', 'N IY']","['A', 'BOR', 'I', 'GINE']",94041
ABORIGINES,"['AE', 'B ER', 'IH', 'JH AH', 'N IY Z']","['A', 'BOR', 'I', 'GI', 'NES']",392246
ABORN,"['AH', 'B AO R N']","['A', 'BORN']",21833
ABORT,"['AH', 'B AO R T']","['A', 'BORT']",1569892
ABORTED,"['AH', 'B AO R', 'T IH D']","['A', 'BOR', 'TED']",948827
ABORTIFACIENT,"['AH', 'B AO R', 'T AH', 'F EY', 'SH AH N T']","['A', 'BOR', 'TI', 'FA', 'CIENT']",39182
ABORTING,"['AH', 'B AO R', 'T IH NG']","['A', 'BOR', 'TING']",230222
ABORTION,"['AH', 'B AO R', 'SH AH N']","['A', 'BOR', 'TION']",9397315
ABORTIONIST,"['AH', 'B AO R', 'SH AH', 'N IH S T']","['A', 'BOR', 'TIO', 'NIST']",67934
ABORTIONISTS,"['AH', 'B AO R', 'SH AH', 'N IH S T S']","['A', 'BOR', 'TIO', 'NISTS']",78096
ABORTIONS,"['AH', 'B AO R', 'SH AH N Z']","['A', 'BOR', 'TIONS']",1340486
ABORTIVE,"['AH', 'B AO R', 'T IH V']","['A', 'BOR', 'TIVE']",175796
ABORTS,"['AH', 'B AO R T S']","['A', 'BORTS']",206439
ABOU,"['AH', 'B UW']","['A', 'BOU']",447707
ABOUD,"['AA', 'B UW D']","['A', 'BOUD']",30192
ABOUND,"['AH', 'B AW N D']","['A', 'BOUND']",1494791
ABOUNDED,"['AH', 'B AW N', 'D IH D']","['A', 'BOUN', 'DED']",114759
ABOUNDING,"['AH', 'B AW N', 'D IH NG']","['A', 'BOUN', 'DING']",135754
ABOUNDS,"['AH', 'B AW N D Z']","['A', 'BOUNDS']",344806
ABOUT,"['AH', 'B AW T']","['A', 'BOUT']",1226734006
ABOVE,"['AH', 'B AH V']","['A', 'BOVE']",141894620
ABOVEBOARD,"['AH', 'B AH V', 'B AO R D']","['A', 'BO', 'VE', 'BOARD']",13211
ABRA,"['AA', 'B R AH']","['A', 'BRA']",437363
ABRACADABRA,"['AE', 'B R AH', 'K AH', 'D AE', 'B R AH']","['A', 'BRA', 'CA', 'DA', 'BRA']",177100
ABRADE,"['AE', 'B R EY D']","['A', 'BRADE']",25533
ABRADED,"['AE', 'B R EY', 'D IH D']","['A', 'BRA', 'DED']",55869
ABRAHAM,"['EY', 'B R AH', 'HH AE M']","['A', 'BRA', 'HAM']",5894747
ABRAHAMS,"['EY', 'B R AH', 'HH AE M Z']","['A', 'BRA', 'HAMS']",434055
ABRAHAMSEN,"['AE', 'B R AH', 'HH AE M', 'S AH N']","['A', 'BRA', 'HA', 'MSEN']",47958
ABRAHAMSON,"['AH', 'B R AE', 'HH AH M', 'S AH N']","['A', 'BRA', 'HA', 'MSON']",106722
ABRAM,"['AH', 'B R AE M']","['A', 'BRAM']",610831
ABRAMO,"['AA', 'B R AA', 'M OW']","['A', 'BRA', 'MO']",24086
ABRAMOVITZ,"['AH', 'B R AA', 'M AH', 'V IH T S']","['A', 'BRA', 'MO', 'VITZ']",21708
ABRAMOWICZ,"['AH', 'B R AA', 'M AH', 'V IH CH']","['A', 'BRA', 'MO', 'WICZ']",21572
ABRAMOWITZ,"['AH', 'B R AA', 'M AH', 'W IH T S']","['A', 'BRA', 'MO', 'WITZ']",84773
ABRAMS,"['EY', 'B R AH M Z']","['A', 'BRAMS']",1488470
ABRAMSON,"['EY', 'B R AH M', 'S AH N']","['A', 'BRA', 'MSON']",335273
ABRASION,"['AH', 'B R EY', 'ZH AH N']","['A', 'BRA', 'SION']",827493
ABRASIONS,"['AH', 'B R EY', 'ZH AH N Z']","['A', 'BRA', 'SIONS']",172990
ABRASIVE,"['AH', 'B R EY', 'S IH V']","['A', 'BRA', 'SIVE']",1246390
ABRASIVES,"['AH', 'B R EY', 'S IH V Z']","['A', 'BRA', 'SI', 'VES']",716996
ABRAXAS,"['AH', 'B R AE', 'K S AH Z']","['A', 'BRA', 'XAS']",139490
ABREAST,"['AH', 'B R EH S T']","['A', 'BREAST']",755392
ABREGO,"['AA', 'B R EH', 'G OW']","['A', 'BRE', 'GO']",21318
ABREU,"['AH', 'B R UW']","['A', 'BREU']",253728
ABRIDGE,"['AH', 'B R IH JH']","['A', 'BRID', 'GE']",96435
ABRIDGED,"['AH', 'B R IH JH D']","['A', 'BRID', 'GED']",1436609
ABRIDGEMENT,"['AH', 'B R IH', 'JH M AH N T']","['A', 'BRID', 'GE', 'MENT']",57411
ABRIDGING,"['AH', 'B R IH', 'JH IH NG']","['A', 'BRID', 'GING']",59340
ABRIL,"['AH', 'B R IH L']","['A', 'BRIL']",432785
ABROAD,"['AH', 'B R AO D']","['A', 'BROAD']",14837382
ABROGATE,"['AE', 'B R AH', 'G EY T']","['A', 'BRO', 'GATE']",137082
ABROGATED,"['AE', 'B R AH', 'G EY', 'T IH D']","['A', 'BRO', 'GA', 'TED']",162405
ABROGATING,"['AE', 'B R AH', 'G EY', 'T IH NG']","['A', 'BRO', 'GA', 'TING']",33981
ABROGATION,"['AE', 'B R AH', 'G EY', 'SH AH N']","['A', 'BRO', 'GA', 'TION']",129242
ABROL,"['AH', 'B R OW L']","['A', 'BROL']",14160
ABRUPT,"['AH', 'B R AH P T']","['A', 'BRUPT']",920475
ABRUPTLY,"['AH', 'B R AH', 'P T L IY']","['A', 'BRUPTLY']",1051602
ABRUPTNESS,"['AH', 'B R AH', 'P T N AH S']","['A', 'BRUPTNESS']",31216
ABRUZZO,"['AA', 'B R UW', 'Z OW']","['A', 'BRU', 'ZZO']",277979
ABSALOM,"['AE', 'B S AH', 'L AH M']","['A', 'BSA', 'LOM']",244493
ABSCESS,"['AE', 'B S EH S']","['A', 'BSCESS']",539538
ABSCOND,"['AE B S', 'K AA N D']","['ABS', 'COND']",31834
ABSCONDED,"['AE B S', 'K AA N', 'D IH D']","['ABS', 'CON', 'DED']",47471
ABSCONDING,"['AE B S', 'K AA N', 'D IH NG']","['ABS', 'CON', 'DING']",41964
ABSECON,"['AE', 'B S AH', 'K AO N']","['A', 'BSE', 'CON']",162752
ABSENCE,"['AE', 'B S AH N S']","['A', 'BSE', 'NCE']",14681896
ABSENCES,"['AE', 'B S AH N', 'S IH Z']","['A', 'BSE', 'NCES']",1076894
ABSENT,"['AE', 'B S AH N T']","['A', 'BSENT']",8831540
ABSENTEE,"['AE', 'B S AH N', 'T IY']","['A', 'BSEN', 'TEE']",1238718
ABSENTEEISM,"['AE', 'B S AH N', 'T IY', 'IH', 'Z AH M']","['A', 'BSEN', 'TEEI', 'SM']",405412
ABSENTEES,"['AE', 'B S AH N', 'T IY Z']","['A', 'BSEN', 'TEES']",63656
ABSENTIA,"['AE', 'B S EH N', 'SH AH']","['A', 'BSEN', 'TIA']",153362
ABSINTHE,"['AE', 'B S IH N TH']","['A', 'BSIN', 'THE']",602158
ABSO,"['AE', 'B S OW']","['A', 'BSO']",72172
ABSOLOM,"['AE', 'B S AH', 'L AH M']","['A', 'BSO', 'LOM']",32112
ABSOLUT,"['AE', 'B S AH', 'L UW T']","['A', 'BSO', 'LUT']",537377
ABSOLUTE,"['AE', 'B S AH', 'L UW T']","['A', 'BSO', 'LUTE']",16198563
ABSOLUTELY,"['AE', 'B S AH', 'L UW', 'T L IY']","['A', 'BSO', 'LU', 'TE', 'LY']",20816571
ABSOLUTENESS,"['AE', 'B S AH', 'L UW', 'T N AH S']","['A', 'BSO', 'LU', 'TE', 'NESS']",21152
ABSOLUTES,"['AE', 'B S AH', 'L UW T S']","['A', 'BSO', 'LU', 'TES']",221902
ABSOLUTION,"['AE', 'B S AH', 'L UW', 'SH AH N']","['A', 'BSO', 'LU', 'TION']",265660
ABSOLUTISM,"['AE', 'B S AH', 'L UW', 'T IH', 'Z AH M']","['A', 'BSO', 'LU', 'TI', 'SM']",118754
ABSOLUTIST,"['AE', 'B S AH', 'L UW', 'T IH S T']","['A', 'BSO', 'LU', 'TIST']",115949
ABSOLVE,"['AH', 'B Z AA L V']","['A', 'BSOL', 'VE']",166260
ABSOLVED,"['AH', 'B Z AA L V D']","['A', 'BSOL', 'VED']",114147
ABSOLVES,"['AH', 'B Z AA L V Z']","['A', 'BSOL', 'VES']",32912
ABSOLVING,"['AH', 'B Z AA L', 'V IH NG']","['A', 'BSOL', 'VING']",29313
ABSORB,"['AH', 'B Z AO R B']","['A', 'BSORB']",2378096
ABSORBED,"['AH', 'B Z AO R B D']","['A', 'BSO', 'RBED']",3125006
ABSORBENCY,"['AH', 'B Z AO R', 'B AH N', 'S IY']","['A', 'BSOR', 'BE', 'NCY']",102305
ABSORBENT,"['AH', 'B Z AO R', 'B AH N T']","['A', 'BSOR', 'BENT']",788293
ABSORBER,"['AH', 'B Z AO R', 'B ER']","['A', 'BSOR', 'BER']",772906
ABSORBERS,"['AH', 'B Z AO R', 'B ER Z']","['A', 'BSOR', 'BERS']",540636
ABSORBING,"['AH', 'B Z AO R', 'B IH NG']","['A', 'BSOR', 'BING']",1613367
ABSORBS,"['AH', 'B Z AO R B Z']","['A', 'BSORBS']",679416
ABSORPTION,"['AH', 'B Z AO R', 'P SH AH N']","['A', 'BSOR', 'PTION']",5294724
ABSTAIN,"['AH B S', 'T EY N']","['ABS', 'TAIN']",857265
ABSTAINED,"['AH B S', 'T EY N D']","['ABS', 'TAI', 'NED']",245629
ABSTAINING,"['AH B S', 'T EY', 'N IH NG']","['ABS', 'TAI', 'NING']",219291
ABSTENTION,"['AH B S', 'T EH N', 'CH AH N']","['ABS', 'TEN', 'TION']",212609
ABSTENTIONS,"['AH B S', 'T EH N', 'CH AH N Z']","['ABS', 'TEN', 'TIONS']",287588
ABSTINENCE,"['AE B S', 'T AH', 'N AH N S']","['ABS', 'TINE', 'NCE']",1160063
ABSTINENT,"['AE B S', 'T AH', 'N AH N T']","['ABS', 'TI', 'NENT']",63386
ABSTRACT,"['AE B S', 'T R AE K T']",['ABSTRACT'],55951880
ABSTRACTED,"['AE B S', 'T R AE', 'K T IH D']","['ABSTRAC', 'TED']",460511
ABSTRACTION,"['AE B S', 'T R AE', 'K SH AH N']","['ABSTRAC', 'TION']",2366467
ABSTRACTIONS,"['AE B S', 'T R AE', 'K SH AH N Z']","['ABSTRAC', 'TIONS']",663339
ABSTRACTS,"['AE B S', 'T R AE K T S']",['ABSTRACTS'],7148233
ABSTRUSE,"['AH B S', 'T R UW S']",['ABSTRUSE'],79101
ABSURD,"['AH', 'B S ER D']","['A', 'BSURD']",2148981
ABSURDIST,"['AH', 'B S ER', 'D IH S T']","['A', 'BSUR', 'DIST']",63466
ABSURDITIES,"['AH', 'B S ER', 'D AH', 'T IY Z']","['A', 'BSUR', 'DI', 'TIES']",159017
ABSURDITY,"['AH', 'B S ER', 'D AH', 'T IY']","['A', 'BSUR', 'DI', 'TY']",544495
ABSURDLY,"['AH', 'B S ER', 'D L IY']","['A', 'BSUR', 'DLY']",201254
ABT,['AE B T'],['ABT'],4062793
ABTS,['AE B T S'],['ABTS'],31951
ABU,"['AE', 'B UW']","['A', 'BU']",5524021
ABUNDANCE,"['AH', 'B AH N', 'D AH N S']","['A', 'BUN', 'DA', 'NCE']",4870991
ABUNDANT,"['AH', 'B AH N', 'D AH N T']","['A', 'BUN', 'DANT']",3441495
ABUNDANTLY,"['AH', 'B AH N', 'D AH N', 'T L IY']","['A', 'BUN', 'DANTLY']",531094
ABUSE,"['AH', 'B Y UW S']","['A', 'BUSE']",36269685
ABUSED,"['AH', 'B Y UW Z D']","['A', 'BU', 'SED']",3319897
ABUSER,"['AH', 'B Y UW', 'Z ER']","['A', 'BU', 'SER']",423584
ABUSERS,"['AH', 'B Y UW', 'Z ER Z']","['A', 'BU', 'SERS']",715904
ABUSES,"['AH', 'B Y UW', 'S IH Z']","['A', 'BU', 'SES']",2546094
ABUSING,"['AH', 'B Y UW', 'Z IH NG']","['A', 'BU', 'SING']",1007630
ABUSIVE,"['AH', 'B Y UW', 'S IH V']","['A', 'BU', 'SIVE']",3183793
ABUT,"['AH', 'B AH T']","['A', 'BUT']",186583
ABUTS,"['AH', 'B AH T S']","['A', 'BUTS']",106431
ABUTTED,"['AH', 'B AH', 'T IH D']","['A', 'BU', 'TTED']",25341
ABUTTING,"['AH', 'B AH', 'T IH NG']","['A', 'BU', 'TTING']",315091
ABUZZ,"['AH', 'B AH Z']","['A', 'BUZZ']",101924
ABYSMAL,"['AH', 'B IH', 'Z M AH L']","['A', 'BYS', 'MAL']",386384
ABYSMALLY,"['AH', 'B IH', 'Z M AH', 'L IY']","['A', 'BYS', 'MA', 'LLY']",38416
ABYSS,"['AH', 'B IH S']","['A', 'BYSS']",1152408
ABYSSINIA,"['AE', 'B S IH', 'N IY', 'AH']","['A', 'BY', 'SSI', 'NIA']",83998
