Word,Pronunciation,Syllables,Frequency
ABBREVIATION,"['AH', 'B R IY', 'V IY', 'EY', 'SH AH N']","['A', 'BBRE', 'VI', 'A', 'TION']",1693819
ABBS,['AE B Z'],"['A', 'BB', 'S']",45751
ABBY,"['AE', 'B IY']","['A', 'BBY']",1962559
ABDICATE,"['AE B', 'D AH', 'K EY T']","['AB', 'DI', 'CATE']",124123
ABDICATED,"['AE B', 'D AH', 'K EY', 'T IH D']","['AB', 'DI', 'CAT', 'ED']",87948
ABDICATING,"['AE B', 'D IH', 'K EY', 'T IH NG']","['AB', 'DI', 'CAT', 'ING']",27176
ABDICATION,"['AE B', 'D IH', 'K EY', 'SH AH N']","['AB', 'DI', 'CA', 'TION']",128143
ABDOMEN,"['AE B', 'D OW', 'M AH N']","['AB', 'DO', 'MEN']",1490684
ABDOMINAL,"['AE B', 'D AA', 'M AH', 'N AH L']","['AB', 'DOM', 'I', 'NAL']",3090148
ABDUCT,"['AE B', 'D AH K T']","['AB', 'DUCT']",126225
ABDUCTION,"['AE B', 'D AH K', 'SH AH N']","['AB', 'DUC', 'TION']",1188510
ABDUCTOR,"['AE B', 'D AH K', 'T ER']","['AB', 'DUC', 'TOR']",82936
ABED,"['AH', 'B EH D']","['A', 'BED']",147933
ABEL,"['EY', 'B AH L']","['A', 'BEL']",1597985
ABELARD,"['AE', 'B IH', 'L ER D']","['AB', 'E', 'LARD']",110735
ABELE,"['AH', 'B EH L']","['A', 'BELE']",62988
ABERCROMBIE,"['AE', 'B ER', 'K R AA M', 'B IY']","['AB', 'ER', 'CROM', 'BIE']",1399587
ABERDEEN,"['AE', 'B ER', 'D IY N']","['AB', 'ER', 'DEEN']",5660658
ABERNETHY,"['AE', 'B ER', 'N EH', 'TH IY']","['AB', 'ER', 'NET', 'HY']",146667
ABERRANT,"['AE', 'B EH', 'R AH N T']","['AB', 'ERR', 'ANT']",368866
ABERRATION,"['AE', 'B ER', 'EY', 'SH AH N']","['AB', 'ERR', 'A', 'TION']",443062
ABET,"['AH', 'B EH T']","['A', 'BET']",286436
ABETTED,"['AH', 'B EH', 'T IH D']","['A', 'BE', 'TTED']",145570
ABETTING,"['AH', 'B EH', 'T IH NG']","['A', 'BE', 'TTING']",233760
ABEYANCE,"['AH', 'B EY', 'AH N S']","['A', 'BEY', 'ANCE']",131094
ABHOR,"['AE', 'B HH AO R']","['AB', 'HOR']",169167
ABHORRED,"['AH', 'B HH AO R D']","['AB', 'HORRED']",77612
ABHORRENCE,"['AH', 'B HH AO', 'R AH N S']","['AB', 'HORR', 'ENCE']",93985
ABHORRENT,"['AE', 'B HH AO', 'R AH N T']","['AB', 'HORR', 'ENT']",167235
ABIDE,"['AH', 'B AY D']","['A', 'BIDE']",3722809
ABIDED,"['AH', 'B AY', 'D IH D']","['A', 'BID', 'ED']",51950
ABIDING,"['AH', 'B AY', 'D IH NG']","['A', 'BID', 'ING']",947738
ABIDJAN,"['AE', 'B IH', 'JH AA N']","['A', 'BID', 'JAN']",324346
ABIE,"['AE', 'B IY']","['A', 'BIE']",61399
ABIGAIL,"['AE', 'B AH', 'G EY L']","['AB', 'I', 'GAIL']",1604495
ABILENE,"['AE', 'B IH', 'L IY N']","['AB', 'I', 'LENE']",1475478
ABILITY,"['AH', 'B IH', 'L AH', 'T IY']","['A', 'BIL', 'I', 'TY']",52004289
ABINGDON,"['AE', 'B IH N G', 'D AH N']","['AB', 'ING', 'DON']",901963
ABINGTON,"['AE', 'B IH N G', 'T AH N']","['AB', 'ING', 'TON']",453270
ABJECT,"['AE B', 'JH EH K T']","['AB', 'JECT']",312620
ABKHAZIA,"['AE B', 'K AA', 'Z Y AH']","['AB', 'KHA', 'ZI', 'A']",203928
ABKHAZIAN,"['AE B', 'K AA', 'Z IY', 'AH N']","['AB', 'KHA', 'ZI', 'AN']",95160
ABLATE,"['AH', 'B L EY T']","['AB', 'LATE']",20449
ABLATION,"['AH', 'B L EY', 'SH AH N']","['AB', 'LA', 'TION']",635932
ABLAZE,"['AH', 'B L EY Z']","['A', 'BLAZE']",321096
ABLE,"['EY', 'B AH L']","['A', 'BLE']",109389038
ABLER,"['EY', 'B AH', 'L ER']","['A', 'BLER']",29740
ABLEST,"['EY', 'B AH L S T']","['A', 'BLEST']",62403
ABLUTION,"['AH', 'B L UW', 'SH AH N']","['AB', 'LU', 'TION']",137649
ABLY,"['EY', 'B L IY']","['A', 'BLY']",425590
ABNEGATION,"['AE B', 'N EH', 'G EY', 'SH AH N']","['AB', 'NE', 'GA', 'TION']",26265
ABNER,"['AE B', 'N ER']","['AB', 'NER']",445318
ABNORMAL,"['AE B', 'N AO R', 'M AH L']","['AB', 'NOR', 'MAL']",3963331
ABNORMALITY,"['AE B', 'N AO R', 'M AE', 'L AH', 'T IY']","['AB', 'NOR', 'MAL', 'I', 'TY']",544301
ABNORMALLY,"['AE B', 'N AO R', 'M AH', 'L IY']","['AB', 'NOR', 'MA', 'LLY']",501580
ABO,"['AA', 'B OW']","['AB', 'O']",537387
ABOARD,"['AH', 'B AO R D']","['A', 'BOARD']",4080258
ABODE,"['AH', 'B OW D']","['A', 'BODE']",1246541
ABOLISH,"['AH', 'B AA', 'L IH SH']","['A', 'BO', 'LISH']",912065
ABOLITION,"['AE', 'B AH', 'L IH', 'SH AH N']","['AB', 'O', 'LI', 'TION']",1132361
ABOLITIONISM,"['AE', 'B AH', 'L IH', 'SH AH', 'N IH', 'Z AH M']","['AB', 'O', 'LI', 'TIO', 'NISM']",39742
ABOLITIONIST,"['AE', 'B AH', 'L IH', 'SH AH', 'N AH S T']","['AB', 'O', 'LI', 'TIO', 'NIST']",226532
ABOMINABLE,"['AH', 'B AA', 'M AH', 'N AH', 'B AH L']","['A', 'BOM', 'I', 'NA', 'BLE']",317597
ABOMINATION,"['AH', 'B AA', 'M AH', 'N EY', 'SH AH N']","['A', 'BOM', 'I', 'NA', 'TION']",396240
ABORIGINAL,"['AE', 'B ER', 'IH', 'JH AH', 'N AH L']","['AB', 'O', 'RIG', 'I', 'NAL']",7042822
ABORIGINE,"['AE', 'B ER', 'IH', 'JH AH', 'N IY']","['AB', 'O', 'RIG', 'I', 'NE']",94041
ABORT,"['AH', 'B AO R T']","['A', 'BORT']",1569892
ABORTIFACIENT,"['AH', 'B AO R', 'T AH', 'F EY', 'SH AH N T']","['A', 'BOR', 'TI', 'FA', 'CIENT']",39182
ABORTION,"['AH', 'B AO R', 'SH AH N']","['A', 'BOR', 'TION']",9397315
ABORTIONIST,"['AH', 'B AO R', 'SH AH', 'N IH S T']","['A', 'BOR', 'TIO', 'NIST']",67934
ABORTIVE,"['AH', 'B AO R', 'T IH V']","['A', 'BOR', 'TIVE']",175796
ABOUND,"['AH', 'B AW N D']","['A', 'BOUND']",1494791
ABOUT,"['AH', 'B AW T']","['A', 'BOUT']",1226734006
ABOVE,"['AH', 'B AH V']","['A', 'BOVE']",141894620
ABOVEBOARD,"['AH', 'B AH V', 'B AO R D']","['A', 'BOVE', 'BOARD']",13211
ABRACADABRA,"['AE', 'B R AH', 'K AH', 'D AE', 'B R AH']","['AB', 'RA', 'CA', 'DAB', 'RA']",177100
ABRADE,"['AE', 'B R EY D']","['A', 'BRADE']",25533
ABRADED,"['AE', 'B R EY', 'D IH D']","['A', 'BRAD', 'ED']",55869
ABRAHAM,"['EY', 'B R AH', 'HH AE M']","['A', 'BRA', 'HAM']",5894747
ABRAM,"['AH', 'B R AE M']","['A', 'BRAM']",610831
ABRASION,"['AH', 'B R EY', 'ZH AH N']","['A', 'BRA', 'SION']",827493
ABRASIVE,"['AH', 'B R EY', 'S IH V']","['A', 'BRA', 'SIVE']",1246390
ABRAXAS,"['AH', 'B R AE K', 'S AH Z']","['A', 'BRAX', 'AS']",139490
ABREAST,"['AH', 'B R EH S T']","['A', 'BREAST']",755392
ABRIDGE,"['AH', 'B R IH JH']","['A', 'BRIDGE']",96435
ABRIDGED,"['AH', 'B R IH JH D']","['A', 'BRIDGED']",1436609
ABRIDGEMENT,"['AH', 'B R IH J H', 'M AH N T']","['A', 'BRIDGE', 'MENT']",57411
ABRIDGING,"['AH', 'B R IH', 'JH IH NG']","['A', 'BRIDG', 'ING']",59340
ABROAD,"['AH', 'B R AO D']","['A', 'BROAD']",14837382
ABROGATE,"['AE', 'B R AH', 'G EY T']","['AB', 'RO', 'GATE']",137082
ABROGATED,"['AE', 'B R AH', 'G EY', 'T IH D']","['AB', 'RO', 'GAT', 'ED']",162405
ABROGATING,"['AE', 'B R AH', 'G EY', 'T IH NG']","['AB', 'RO', 'GAT', 'ING']",33981
ABROGATION,"['AE', 'B R AH', 'G EY', 'SH AH N']","['AB', 'RO', 'GA', 'TION']",129242
ABRUPT,"['AH', 'B R AH P T']","['AB', 'RUPT']",920475
ABRUPTLY,"['AH', 'B R AH P', 'T L IY']","['AB', 'RUPT', 'LY']",1051602
ABRUPTNESS,"['AH', 'B R AH P T', 'N AH S']","['AB', 'RUPT', 'NESS']",31216
ABSALOM,"['AE B', 'S AH', 'L AH M']","['AB', 'SA', 'LOM']",244493
ABSCESS,"['AE B', 'S EH S']","['AB', 'SCESS']",539538
ABSCOND,"['AE B', 'S K AA N D']","['AB', 'SCOND']",31834
ABSECON,"['AE B', 'S AH', 'K AO N']","['AB', 'SE', 'CON']",162752
ABSENCE,"['AE B', 'S AH N S']","['AB', 'SENCE']",14681896
ABSENT,"['AE B', 'S AH N T']","['AB', 'SENT']",8831540
ABSENTEE,"['AE B', 'S AH N', 'T IY']","['AB', 'SEN', 'TEE']",1238718
ABSENTEEISM,"['AE B', 'S AH N', 'T IY', 'IH', 'Z AH M']","['AB', 'SEN', 'TEE', 'ISM']",405412
ABSENTIA,"['AE B', 'S EH N', 'SH AH']","['AB', 'SEN', 'TI', 'A']",153362
ABSINTHE,"['AE B', 'S IH N TH']","['AB', 'SINTHE']",602158
ABSOLUTE,"['AE B', 'S AH', 'L UW T']","['AB', 'SO', 'LUTE']",16198563
ABSOLUTELY,"['AE B', 'S AH', 'L UW', 'T L IY']","['AB', 'SO', 'LUTE', 'LY']",20816571
ABSOLUTENESS,"['AE B', 'S AH', 'L UW T', 'N AH S']","['AB', 'SO', 'LUTE', 'NESS']",21152
ABSOLUTION,"['AE B', 'S AH', 'L UW', 'SH AH N']","['AB', 'SO', 'LU', 'TION']",265660
ABSOLUTISM,"['AE B', 'S AH', 'L UW', 'T IH', 'Z AH M']","['AB', 'SO', 'LU', 'TISM']",118754
ABSOLUTIST,"['AE B', 'S AH', 'L UW', 'T IH S T']","['AB', 'SO', 'LU', 'TIST']",115949
ABSOLVE,"['AH B', 'Z AA L V']","['AB', 'SOLVE']",166260
ABSOLVED,"['AH B', 'Z AA L V D']","['AB', 'SOLVED']",114147
ABSOLVING,"['AH B', 'Z AA L', 'V IH NG']","['AB', 'SOLV', 'ING']",29313
ABSORB,"['AH B', 'Z AO R B']","['AB', 'SORB']",2378096
ABSORBED,"['AH B', 'Z AO R B D']","['AB', 'SORBED']",3125006
ABSORBENCY,"['AH B', 'Z AO R', 'B AH N', 'S IY']","['AB', 'SORB', 'EN', 'CY']",102305
ABSORBENT,"['AH B', 'Z AO R', 'B AH N T']","['AB', 'SOR', 'BENT']",788293
ABSORBER,"['AH B', 'Z AO R', 'B ER']","['AB', 'SOR', 'BER']",772906
ABSORBING,"['AH B', 'Z AO R', 'B IH NG']","['AB', 'SORB', 'ING']",1613367
ABSORPTION,"['AH B', 'Z AO R P', 'SH AH N']","['AB', 'SORP', 'TION']",5294724
ABSTAIN,"['AH B', 'S T EY N']","['AB', 'STAIN']",857265
ABSTENTION,"['AH B', 'S T EH N', 'CH AH N']","['AB', 'STEN', 'TION']",212609
ABSTINENCE,"['AE B', 'S T AH', 'N AH N S']","['AB', 'STI', 'NENCE']",1160063
ABSTINENT,"['AE B', 'S T AH', 'N AH N T']","['AB', 'STI', 'NENT']",63386
ABSTRACT,"['AE B', 'S T R AE K T']","['AB', 'STRACT']",55951880
ABSTRACTED,"['AE B', 'S T R AE K', 'T IH D']","['AB', 'STRACT', 'ED']",460511
ABSTRACTION,"['AE B', 'S T R AE K', 'SH AH N']","['AB', 'STRAC', 'TION']",2366467
ABSTRUSE,"['AH B', 'S T R UW S']","['AB', 'STRUSE']",79101
ABSURD,"['AH B', 'S ER D']","['AB', 'SURD']",2148981
ABSURDITY,"['AH B', 'S ER', 'D AH', 'T IY']","['AB', 'SURD', 'I', 'TY']",544495
ABSURDLY,"['AH B', 'S ER', 'D L IY']","['AB', 'SURD', 'LY']",201254
ABUNDANCE,"['AH', 'B AH N', 'D AH N S']","['A', 'BUN', 'DANCE']",4870991
ABUNDANT,"['AH', 'B AH N', 'D AH N T']","['A', 'BUN', 'DANT']",3441495
ABUNDANTLY,"['AH', 'B AH N', 'D AH N', 'T L IY']","['A', 'BUN', 'DANT', 'LY']",531094
ABUSE,"['AH', 'B Y UW S']","['A', 'BUSE']",36269685
ABUSED,"['AH', 'B Y UW Z D']","['A', 'BUSED']",3319897
ABUSER,"['AH', 'B Y UW', 'Z ER']","['A', 'BU', 'SER']",423584
ABUSING,"['AH', 'B Y UW', 'Z IH NG']","['A', 'BUS', 'ING']",1007630
ABUSIVE,"['AH', 'B Y UW', 'S IH V']","['A', 'BU', 'SIVE']",3183793
ABUT,"['AH', 'B AH T']","['A', 'BUT']",186583
ABUTTED,"['AH', 'B AH', 'T IH D']","['A', 'BU', 'TTED']",25341
ABUTTING,"['AH', 'B AH', 'T IH NG']","['A', 'BU', 'TTING']",315091
ABUZZ,"['AH', 'B AH Z']","['A', 'BUZZ']",101924
ABYSMAL,"['AH', 'B IH Z', 'M AH L']","['A', 'BYS', 'MAL']",386384
ABYSMALLY,"['AH', 'B IH Z', 'M AH', 'L IY']","['A', 'BYS', 'MA', 'LLY']",38416
ABYSS,"['AH', 'B IH S']","['A', 'BYSS']",1152408
ABYSSINIA,"['AE B', 'S IH', 'N IY', 'AH']","['AB', 'Y', 'SSIN', 'I', 'A']",83998
ABYSSINIAN,"['AE B', 'S IH', 'N IY', 'AH N']","['AB', 'Y', 'SSIN', 'I', 'AN']",128656
ACACIA,"['AH', 'K EY', 'SH AH']","['A', 'CA', 'CIA']",1044793
ACADEME,"['AE', 'K AH', 'D IY M']","['AC', 'A', 'DEME']",387561
ACADEMIA,"['AE', 'K AH', 'D IY', 'M IY', 'AH']","['AC', 'A', 'DE', 'MI', 'A']",2202285
ACADEMIC,"['AE', 'K AH', 'D EH', 'M IH K']","['AC', 'A', 'DE', 'MIC']",54886061
ACADEMICALLY,"['AE', 'K AH', 'D EH', 'M IH', 'K L IY']","['AC', 'A', 'DEM', 'I', 'CA', 'LLY']",825603
ACADEMICIAN,"['AE', 'K AH', 'D AH', 'M IH', 'SH AH N']","['A', 'CAD', 'E', 'MI', 'CIAN']",123195
ACADEMY,"['AH', 'K AE', 'D AH', 'M IY']","['A', 'CAD', 'E', 'MY']",29252165
ACADIA,"['AH', 'K EY', 'D IY', 'AH']","['A', 'CA', 'DI', 'A']",827587
ACAPULCO,"['AE', 'K AH', 'P UH L', 'K OW']","['A', 'CA', 'PUL', 'CO']",1630701
ACCEDE,"['AE K', 'S IY D']","['A', 'CCEDE']",192573
ACCEDED,"['AE K', 'S IY', 'D IH D']","['A', 'CCED', 'ED']",176005
ACCEDING,"['AE K', 'S IY', 'D IH NG']","['A', 'CCED', 'ING']",155750
ACCELERANT,"['AE K', 'S EH', 'L ER', 'AH N T']","['A', 'CCEL', 'ER', 'ANT']",17069
ACCELERATE,"['AE K', 'S EH', 'L ER', 'EY T']","['A', 'CCEL', 'ER', 'ATE']",3199272
ACCELERATED,"['AE K', 'S EH', 'L ER', 'EY', 'T IH D']","['A', 'CCEL', 'ER', 'AT', 'ED']",4336016
ACCELERATING,"['AE K', 'S EH', 'L ER', 'EY', 'T IH NG']","['A', 'CCEL', 'ER', 'AT', 'ING']",1568747
ACCELERATION,"['AE K', 'S EH', 'L ER', 'EY', 'SH AH N']","['A', 'CCEL', 'ER', 'A', 'TION']",4118345
ACCELERATOR,"['AE K', 'S EH', 'L ER', 'EY', 'T ER']","['A', 'CCEL', 'ER', 'A', 'TOR']",3687315
ACCELEROMETER,"['AE K', 'S EH', 'L ER', 'AA', 'M AH', 'T ER']","['A', 'CCEL', 'ER', 'OM', 'E', 'TER']",336444
ACCENT,"['AH K', 'S EH N T']","['A', 'CCENT']",6036395
ACCENTUATE,"['AE K', 'S EH N', 'CH UW', 'EY T']","['A', 'CCEN', 'TU', 'ATE']",284301
ACCENTUATED,"['AE K', 'S EH N', 'CH UW', 'EY', 'T IH D']","['A', 'CCEN', 'TU', 'AT', 'ED']",238695
ACCENTUATING,"['AE K', 'S EH N', 'CH UW', 'EY', 'T IH NG']","['A', 'CCEN', 'TU', 'AT', 'ING']",58751
ACCEPT,"['AE K', 'S EH P T']","['A', 'CCEPT']",43171429
ACCEPTABILITY,"['AH K', 'S EH P', 'T AH', 'B IH', 'L AH', 'T IY']","['A', 'CCEPT', 'A', 'BIL', 'I', 'TY']",691803
ACCEPTABLE,"['AE K', 'S EH P', 'T AH', 'B AH L']","['A', 'CCEPT', 'A', 'BLE']",14590887
ACCEPTABLY,"['AE K', 'S EH P', 'T AH', 'B L IY']","['A', 'CCEPT', 'A', 'BLY']",113043
ACCEPTANCE,"['AE K', 'S EH P', 'T AH N S']","['A', 'CCEP', 'TANCE']",36864919
ACCEPTED,"['AE K', 'S EH P', 'T IH D']","['A', 'CCEPT', 'ED']",46922000
ACCESS,"['AE K', 'S EH S']","['A', 'CCESS']",217986984
ACCESSIBILITY,"['AE K', 'S EH', 'S AH', 'B IH', 'L IH', 'T IY']","['A', 'CCE', 'SSI', 'BIL', 'I', 'TY']",19002278
ACCESSIBLE,"['AE K', 'S EH', 'S AH', 'B AH L']","['A', 'CCE', 'SSI', 'BLE']",18695403
ACCESSION,"['AH K', 'S EH', 'SH AH N']","['A', 'CCE', 'SSION']",4673797
ACCESSORIZE,"['AE K', 'S EH', 'S ER', 'AY Z']","['A', 'CCE', 'SSO', 'RIZE']",172805
ACCESSORIZED,"['AE K', 'S EH', 'S ER', 'AY Z D']","['A', 'CCE', 'SSO', 'RIZED']",29798
ACCESSORY,"['AE K', 'S EH', 'S ER', 'IY']","['A', 'CCE', 'SSO', 'RY']",18694578
ACCIDENT,"['AE K', 'S AH', 'D AH N T']","['A', 'CCI', 'DENT']",18699760
ACCIDENTAL,"['AE K', 'S AH', 'D EH N', 'T AH L']","['A', 'CCI', 'DEN', 'TAL']",3914021
ACCIDENTALLY,"['AE K', 'S AH', 'D EH N', 'T AH', 'L IY']","['A', 'CCI', 'DEN', 'TA', 'LLY']",2636203
ACCLAIM,"['AH', 'K L EY M']","['A', 'CCLAIM']",1784066
ACCLAMATION,"['AE', 'K L AH', 'M EY', 'SH AH N']","['A', 'CCLA', 'MA', 'TION']",111773
ACCLIMATE,"['AE', 'K L AH', 'M EY T']","['A', 'CCLI', 'MATE']",86128
ACCLIMATED,"['AE', 'K L AH', 'M EY', 'T IH D']","['A', 'CCLI', 'MAT', 'ED']",112307
ACCLIMATION,"['AE', 'K L AH', 'M EY', 'SH AH N']","['A', 'CCLI', 'MA', 'TION']",134284
ACCOLADE,"['AE', 'K AH', 'L EY D']","['A', 'CCO', 'LADE']",361681
ACCOMMODATE,"['AH', 'K AA', 'M AH', 'D EY T']","['A', 'CCO', 'MMO', 'DATE']",7002915
ACCOMMODATED,"['AH', 'K AA', 'M AH', 'D EY', 'T IH D']","['A', 'CCO', 'MMO', 'DAT', 'ED']",1506562
ACCOMMODATING,"['AH', 'K AA', 'M AH', 'D EY', 'T IH NG']","['A', 'CCO', 'MMO', 'DAT', 'ING']",960249
ACCOMMODATION,"['AH', 'K AA', 'M AH', 'D EY', 'SH AH N']","['A', 'CCO', 'MMO', 'DA', 'TION']",60589803
ACCOMMODATIVE,"['AH', 'K AA', 'M AH', 'D EY', 'T IH V']","['A', 'CCO', 'MMO', 'DA', 'TIVE']",66547
ACCOMPANIED,"['AH', 'K AH M', 'P AH', 'N IY D']","['A', 'CCOM', 'PA', 'NIED']",8119884
ACCOMPANIMENT,"['AH', 'K AH M P', 'N IH', 'M AH N T']","['A', 'CCOM', 'PA', 'NI', 'MENT']",1572132
ACCOMPANIST,"['AH', 'K AH M', 'P AH', 'N AH S T']","['A', 'CCOM', 'PA', 'NIST']",153694
ACCOMPANY,"['AH', 'K AH M', 'P AH', 'N IY']","['A', 'CCOM', 'PA', 'NY']",3439497
ACCOMPANYING,"['AH', 'K AH M', 'P AH', 'N IY', 'IH NG']","['A', 'CCOM', 'PA', 'NY', 'ING']",5681015
ACCOMPLICE,"['AH', 'K AA M', 'P L AH S']","['A', 'CCOM', 'PLICE']",316255
ACCOMPLISH,"['AH', 'K AA M', 'P L IH SH']","['A', 'CCOM', 'PLISH']",6091676
ACCOMPLISHED,"['AH', 'K AA M', 'P L IH SH T']","['A', 'CCOM', 'PLISHED']",7928651
ACCOMPLISHMENT,"['AH', 'K AA M', 'P L IH', 'SH M AH N T']","['A', 'CCOM', 'PLISH', 'MENT']",1904294
ACCORD,"['AH', 'K AO R D']","['A', 'CCORD']",5034197
ACCORDANCE,"['AH', 'K AO R', 'D AH N S']","['A', 'CCOR', 'DANCE']",25194680
ACCORDING,"['AH', 'K AO R', 'D IH NG']","['A', 'CCORD', 'ING']",72553085
ACCORDINGLY,"['AH', 'K AO R', 'D IH N G', 'L IY']","['A', 'CCORD', 'ING', 'LY']",8960086
ACCORDION,"['AH', 'K AO R', 'D IY', 'AH N']","['A', 'CCOR', 'DI', 'ON']",1220579
ACCOST,"['AH', 'K AO S T']","['A', 'CCOST']",29427
ACCOSTED,"['AH', 'K AA', 'S T IH D']","['A', 'CCOST', 'ED']",117096
ACCOUNT,"['AH', 'K AW N T']","['A', 'CCOUNT']",203611349
ACCOUNTABILITY,"['AH', 'K AW N', 'T AH', 'B IH', 'L IH', 'T IY']","['A', 'CCOUNT', 'A', 'BIL', 'I', 'TY']",9011124
ACCOUNTABLE,"['AH', 'K AW N', 'T AH', 'B AH L']","['A', 'CCOUNT', 'A', 'BLE']",3501555
ACCOUNTANCY,"['AH', 'K AW N', 'T AH N T', 'S IY']","['A', 'CCOUNT', 'AN', 'CY']",2528048
ACCOUNTANT,"['AH', 'K AW N', 'T AH N T']","['A', 'CCOUNT', 'ANT']",4289265
ACCOUNTING,"['AH', 'K AW N', 'T IH NG']","['A', 'CCOUNT', 'ING']",40819336
ACCOUTREMENT,"['AH', 'K UW', 'T ER', 'M AH N T']","['A', 'CCOU', 'TRE', 'MENT']",12733
ACCRA,"['AA', 'K R AA']","['A', 'CCRA']",577217
ACCREDIT,"['AH', 'K R EH', 'D IH T']","['A', 'CCRED', 'IT']",121662
ACCREDITATION,"['AH', 'K R EH', 'D AH', 'T EY', 'SH AH N']","['A', 'CCRED', 'I', 'TA', 'TION']",6733072
ACCRETED,"['AH', 'K R IY', 'T IH D']","['A', 'CCRET', 'ED']",61877
ACCRETION,"['AH', 'K R IY', 'SH AH N']","['A', 'CCRE', 'TION']",649735
ACCRUAL,"['AH', 'K R UW', 'AH L']","['A', 'CCRU', 'AL']",1003020
ACCRUE,"['AH', 'K R UW']","['A', 'CCRUE']",927430
ACCRUED,"['AH', 'K R UW D']","['A', 'CCRUED']",2391008
ACCRUING,"['AH', 'K R UW', 'IH NG']","['A', 'CCRU', 'ING']",384560
ACCUMULATE,"['AH', 'K Y UW', 'M Y AH', 'L EY T']","['A', 'CCU', 'MU', 'LATE']",1715457
ACCUMULATED,"['AH', 'K Y UW', 'M Y AH', 'L EY', 'T IH D']","['A', 'CCU', 'MU', 'LAT', 'ED']",4018104
ACCUMULATING,"['AH', 'K Y UW', 'M Y AH', 'L EY', 'T IH NG']","['A', 'CCU', 'MU', 'LAT', 'ING']",722990
ACCUMULATION,"['AH', 'K Y UW', 'M Y AH', 'L EY', 'SH AH N']","['A', 'CCU', 'MU', 'LA', 'TION']",4064397
ACCUMULATIVE,"['AH', 'K Y UW', 'M Y AH', 'L EY', 'T IH V']","['A', 'CCU', 'MU', 'LA', 'TIVE']",103072
ACCUMULATOR,"['AH', 'K Y UW', 'M Y AH', 'L EY', 'T ER']","['A', 'CCU', 'MU', 'LA', 'TOR']",432873
ACCURACY,"['AE', 'K Y ER', 'AH', 'S IY']","['A', 'CCU', 'RA', 'CY']",29536020
ACCURATE,"['AE', 'K Y ER', 'AH T']","['A', 'CCU', 'RATE']",25144477
ACCURATELY,"['AE', 'K Y ER', 'AH', 'T L IY']","['A', 'CCU', 'RATE', 'LY']",6587832
ACCURSED,"['AE', 'K ER S T']","['A', 'CCURS', 'ED']",189430
ACCUSATION,"['AE', 'K Y AH', 'Z EY', 'SH AH N']","['A', 'CCU', 'SA', 'TION']",847191
ACCUSATIVE,"['AH', 'K Y UW', 'Z AH', 'T IH V']","['A', 'CCU', 'SA', 'TIVE']",145450
ACCUSATORY,"['AH', 'K Y UW', 'Z AH', 'T AO', 'R IY']","['A', 'CCU', 'SA', 'TO', 'RY']",63463
ACCUSE,"['AH', 'K Y UW Z']","['A', 'CCUSE']",1048371
ACCUSED,"['AH', 'K Y UW Z D']","['A', 'CCUSED']",8659913
ACCUSER,"['AH', 'K Y UW', 'Z ER']","['A', 'CCU', 'SER']",280605
ACCUSING,"['AH', 'K Y UW', 'Z IH NG']","['A', 'CCUS', 'ING']",872745
